company,com_rating,job1,location,Salary_min($),Salary_max($)
Walt Disney Co.,3.7,"Senior Data Analyst, Data Instrumentation","New York, NY",85000,135000
Sumitomo Mitsui Banking Corporation,3.1,Senior Data Analyst - Compliance,"Jersey City, NJ",55000,85000
AC Lion (2),4.2,Senior Data Analyst,"New York, NY",60000,99000
Citadel,4.3,"Office of the CAO | Reference Data, Technical Operations Analyst | Chicago/","New York, NY",68000,92000
Simon Data,4.5,Sr Data Analyst,"New York, NY",72000,115000
NYU Langone Health,4,Sr Data Analyst- Population Health,"New York, NY",62000,90000
Pioneer Data Systems,4.2,Data Analyst (Tableau / Qlik),"Bridgewater, NJ",50000,82000
Village Care,2.2,HEDIS Data Analyst,"New York, NY",46000,71000
The Estée Lauder Companies Inc.,3.7,Senior Data Analyst,"Queens Village, NY",57000,89000
Oneida Total Integrated Enterprises,2.8,Data Analyst,"West Point, NY",38000,63000
St. Barnabas Hospital,3,Clinical Data Analyst,"Bronx, NY",45000,67000
"Integrated Resources, Inc",3.5,"Vendor/Procurement Data Analyst - Integrated Resources, Inc","New York, NY",70000,116000
Northwell Health,3.8,Practice Spclst Data Analyst,"Manhasset, NY",55000,83000
Diverse Lynx,3.6,Data Analyst (Short Hills - NJ),"Jersey City, NJ",51000,86000
One Call,2.8,Senior Healthcare Data Analyst,"New York, NY",59000,86000
Deloitte,3.8,Deloitte Consulting - Specialist Analyst Data Scientist - North Carolina State University (NCSU),"New York, NY",115000,171000
Aegon USA Investment Management,3.3,Defined Benefit Functional Data Analyst,"New York, NY",42000,67000
New York City Taxi and Limousine Commission,3.6,Data Analyst -Policy Analytics,"New York, NY",33000,56000
Brown Brothers Harriman,3.2,Data Science Systems Programmer Analyst,"New York, NY",76000,108000
RAMPS International Inc,4.5,Senior Healthcare Data Analyst,"New York, NY",65000,99000
Healthfirst (New York),2.8,Senior Product Data Analyst,"New York, NY",95000,135000
Diverse Lynx,3.6,Tech Business Analyst/Data Analyst,"New York, NY",56000,91000
Comrise,4.6,IT Support analyst - Data analytics and devops,"Roseland, NJ",38000,60000
The Bank of New York Mellon,3.1,"Tapia Data Science, Data Analytics, Technical Business Analyst (Lead Data Analyst)","New York, NY",40000,64000
Pratt Institute,3.7,Senior Financial Data & Business System Analyst,"Brooklyn, NY",67000,108000
TechProjects,4.8,ETL Datastage Developer/IBM Infosphere Datastage Consultant(ETL Data Analyst)-Only NY/NJ candidates Please,"New York, NY",57000,90000
InfoObjects Inc,3.8,"Data Analyst with Tableau (Direct Onsite, Only Locals)","New Hyde Park, NY",37000,61000
XDuce,4.2,Data Analyst - Insurance - XDuce,"New York, NY",46000,79000
Veterans Sourcing Group,2.8,IT - Data Analyst,"Jersey City, NJ",38000,62000
GSK,3.9,Master Data Analyst,"Warren, NJ",54000,89000
Citibank,3.8,"Investment Banking, Summer Analyst: Data Science Analyst, M&A Strategic Shareholder Advisory","New York, NY",77000,99000
Pioneer Data Systems,4.2,SAS Programmer Analyst / Healthcare Claims Data,"New Brunswick, NJ",90000,129000
UBS,3.5,US Data Quality and Governance Business Analyst,"Weehawken, NJ",70000,113000
UBS,3.5,US Data Quality & Profiling Business Analyst,"Weehawken, NJ",70000,113000
Media Storm,3.1,"Analyst, Advanced Data Modeler","New York, NY",70000,94000
Horizon Blue Cross Blue Shield of New Jersey,3.4,Data Reporting Analyst III,"Newark, NJ",51000,85000
Talent Inc.,3.8,Senior Data Analyst,"New York, NY",54000,91000
New York Life,3.5,Senior Metrics and Reporting Analyst - Data Governance and Management,"Lebanon, NJ",74000,121000
LexisNexis Risk Solutions,3.5,Fraud Data Analyst,"New York, NY",43000,71000
"Lenmar Consulting, Inc.",2.6,"Data Analyst - Lenmar Consulting, Inc.","Jersey City, NJ",38000,65000
Gartner,3.7,Marketing Data Analyst,"Stamford, CT",37000,58000
Deloitte,3.8,Deloitte Consulting – Specialist Analyst Data Scientist - North Carolina State University (NCSU),"New York, NY",115000,171000
Transamerica,3.1,Defined Benefit Functional Data Analyst,"Harrison, NY",41000,65000
ADP,3.7,"Data Steward - (Siebel, SQL, Data Analyst)","Florham Park, NJ",49000,79000
Mount Sinai Health System,3.4,Data Warehouse Analyst; Adolescent Health,"New York, NY",68000,100000
Mount Sinai Medical Center,3.1,"Data Analyst I -Diagnostic, Molecular and Interventional Radiology","New York, NY",41000,60000
Crestron Electronics Inc,2.8,Technical Data Analyst,"Rockleigh, NJ",56000,84000
Mount Sinai Health System,3.4,"Senior Data Analyst, Environmental Medicine and Public Health","New York, NY",50000,72000
Diverse Lynx,3.6,Data Analyst with SQL/PLSQL/BI/Datawarehousing,"New York, NY",51000,86000
Stony Brook Clinical Practice Mgmt Plan,3.5,Data Analyst- Stony Brook CPMP General Accounting,"Stony Brook, NY",48000,73000
Mount Sinai Health System,3.4,SENIOR DATA ANALYST,"New York, NY",55000,82000
Georgia IT Inc.,5,"Data Analyst- Pennsylvania,PA - Georgia IT Inc.","New York, NY",48000,81000
Mount Sinai Health System,3.4,"Data Analyst I -Diagnostic, Molecular and Interventional Radiology","New York, NY",41000,60000
Spectrum,2.9,Sr. Data and Reporting Analyst,"Stamford, CT",47000,79000
Wunderman,3.2,"Senior Analyst, Analytics and Data Science","New York, NY",57000,92000
22nd Century Technologies,3.7,SAP System & SDP Data Analyst,"White Plains, NY",56000,80000
Visiting Nurse Service of New York,3.7,Healthcare Encounter Data Analyst,"New York, NY",45000,69000
Sumitomo Mitsui Banking Corporation (SMBC),3.1,"Senior Data Analyst - Compliance in Jersey City, New Jersey | Careers at Harborside","Jersey City, NJ",55000,85000
Hackensack University Medical Center,3.4,Clinical Data Analyst,"Edison, NJ",57000,87000
Criteo,3.8,"Senior Data Analyst – Global Supply Analytics, AMERICAS","New York, NY",79000,119000
Verisk,3.4,Regulatory Data & Risk Analyst,"White Plains, NY",62000,93000
"Universal Technical Resource Services, Inc.",4.1,Information Data Analyst,"Dover, NJ",39000,67000
Crossfire Consulting,5,Business Data Analyst ONLY,"Morristown, NJ",54000,84000
Moxie,3.1,"Sr. Analyst, Client Data and DMP Strategy","New York, NY",60000,80000
CenterLight Health System,2.5,Data Warehouse Business Analyst (T-SQL),"Bronx, NY",75000,116000
Crescens Inc.,3.2,Data Warehouse Analyst - Crescens Inc.,"Jersey City, NJ",45000,68000
Barnabas Health,3.4,SQL Data Reporting Analyst - Revenue Cycle Patient Accounts (FT),"Oceanport, NJ",49000,82000
Regeneron,3.7,"NGS Data Analyst, Regeneron Genetics Center","Tarrytown, NY",59000,96000
Sanofi,3.6,Regulatory Reporting and Data Analyst,"Bridgewater, NJ",40000,66000
Citadel,4.3,"Office of the CAO | Reference Data, Project Manager/Business Analyst","New York, NY",122000,164000
AbleTo,3.7,Senior Data Analyst,"New York, NY",55000,84000
Crossix Solutions,3.6,Lead Marketing Data Analyst,"New York, NY",56000,83000
Axtria,3.6,Business Analyst – Oncology/SPP data (Life Sciences),"Berkeley Heights, NJ",68000,106000
Newsday LLC,2.9,"Editorial Data Analyst, newsday.com","Melville, NY",50000,75000
FreemanXP,3.4,Senior Data Business Analyst,"New York, NY",116000,180000
ProHEALTH Care,3.4,Clinical Data Analyst,"Lake Success, NY",51000,78000
Diverse Lynx,3.6,Data Analyst - Diverse Lynx,"Jersey City, NJ",51000,86000
Diverse Lynx,3.6,MDM Data Analyst,"Jersey City, NJ",51000,86000
Bloomberg,3.8,Data Analyst - BLAW Web Document Acquisition,"Princeton, NJ",54000,78000
IntelliPro Group Inc.,3.4,Sr. Data Analyst,"New York, NY",95000,142000
EmblemHealth,2.7,"Senior Data Analyst, Pharmacy","New York, NY",68000,109000
RMS Computer,3.8,Sr. Business Analyst/Data Analyst/Securities/Reference Data,"Jersey City, NJ",60000,100000
Castleton Commodities International LLC,3.4,Quantitative Analyst Data Science,"Stamford, CT",61000,106000
BNY Mellon,3.1,Sr. Specialist Info Sec Analyst - Data Scientist,"New York, NY",108000,156000
Oracle,3.5,Oracle Data Cloud - Security Operations Analyst,"New York, NY",58000,87000
Cygnus Professionals,3.9,Data Warehouse Analyst - Cygnus Professionals,"Jersey City, NJ",51000,77000
TechProjects,4.8,Sr. Datastage and Data Analyst,"New York, NY",75000,113000
Spectrum,2.9,Credit Services Data Analyst,"Stamford, CT",46000,74000
Deloitte,3.8,"Insight Studio Specialist Data Scientist - Analyst - Technology, Consulting - BTA - UG - University of Michigan (Summer/Fall)","New York, NY",132000,185000
J. Crew,3.7,Madewell Customer Data Science Sr. Analyst,"Long Island City, NY",64000,97000
Warner Music Group,3.1,"Senior Financial Analyst, Technology/Data Operations - Entertainment and Media Industry Opportunity","New York, NY",56000,84000
J.P. Morgan,3.9,CIB Digital & Platform Services Resolution & Recovery - Sr. Data/Business Analyst,"Brooklyn, NY",62000,109000
The Bank of New York Mellon,3.1,"Lead Analyst, Data Mgmt Ops","Pennington, NJ",50000,77000
Diversified,3.4,Data & Reporting Business Analyst,"Kenilworth, NJ",56000,92000
Softpath System LLC,3.8,NJATCSU Data Warehouse Analyst - Softpath System LLC,"Jersey City, NJ",54000,80000
Lorven Technologies Inc,4,Data Analyst / IT Data & Business Intelligence,"Harrison, NY",50000,81000
XDuce,4.2,Insurance Systems Analyst - Business & Data,"New York, NY",47000,81000
Knowledgent,3.2,Data Governance Analysts,"Warren, NJ",62000,96000
Cross River Bank,3.8,Senior Data Analyst,"Fort Lee, NJ",60000,92000
Guardian Life,3.4,2020 Data Systems Analyst Inernship,"Freehold, NJ",53000,98000
Wyndham Worldwide,3,Hotel Program Operations and Data Analyst,"Parsippany, NJ",33000,55000
Callisto Media,4.7,Lead Data Analyst,"New York, NY",50000,84000
Flight Centre Travel Group,2.3,Data and Business Analyst - Montvale NJ,"Montvale, NJ",46000,75000
Seamen's Society for Children and Families,2.4,Data Analyst - Foster Care,"Staten Island, NY",30000,50000
AdvantageCare Physicians,2.1,"Senior Data Analyst, Pharmacy","New York, NY",88000,126000
Encore Event Technologies,3.5,Senior Data Business Analyst,"New York, NY",66000,105000
Cygnus Professionals,3.9,Sr. Data Analyst,"New York, NY",60000,93000
Verizon,3.6,Lead Data Analyst,"Piscataway, NJ",74000,114000
Flight Centre Travel Group,2.3,Data and Business Analyst,"Montvale, NJ",46000,75000
Alpha Consulting Corp.,4.1,"Senior Business Analyst for Business Process, Data Analysis, and Data Modeling for Pharmaceutical R&D - Alpha Consulting Corp.","Jersey City, NJ",93000,147000
Castleton Commodities International LLC,3.4,Quantitative Analyst – Data Science,"Stamford, CT",61000,106000
PeopleNTech LLC,4.2,Data Analyst/Architect,"New York, NY",43000,72000
Mount Sinai Medical Center,3.1,"Senior Data Analyst, Environmental Medicine and Public Health","New York, NY",54000,78000
Purolator International,2.5,"Data Analyst, Decision Support","Jericho, NY",51000,79000
Mount Sinai Medical Center,3.1,Data Warehouse Analyst; Adolescent Health,"New York, NY",61000,90000
Sika AG,3.2,SAP Analyst (Master Data Maintainer),"Lyndhurst, NJ",55000,80000
Center for Court Innovation,3.2,"Senior Data Analyst, Supervised Release Program","New York, NY",64000,105000
Mount Sinai Medical Center,3.1,Data Science Analyst I Computational Biology - Genetics,"New York, NY",49000,78000
CIT,3.2,Audit Data Analyst,"Livingston, NJ",45000,71000
BNY Mellon,3.1,"Specialist, Big Data Senior Analyst (Treasury and ALM)","New York, NY",60000,94000
Spectrum,2.9,Business Data Analyst II,"Stamford, CT",59000,93000
Spectrum,2.9,"Sr. Analyst, Data and Reporting","Stamford, CT",49000,82000
Axtria,3.6,Business Analyst Oncology/SPP data (Life Sciences),"Berkeley Heights, NJ",68000,106000
Cedent Consulting,3.8,Senior Data Analyst / Scientist,"New York, NY",56000,92000
Quest Diagnostics,3.3,Senior Data Management Analyst,"Secaucus, NJ",60000,90000
W. R. Berkley Corporation,3.2,Senior Data Governance Analyst,"Greenwich, CT",66000,99000
Disney Streaming Services,3.4,"Senior Data Analyst, Data Instrumentation","New York, NY",49000,80000
Spectrum,2.9,Service Delivery Reporting & Data Analyst,"Stamford, CT",51000,83000
"Remedy BPCI Partners, LLC.",3.3,"Senior Analyst, Claims Data Engineering","New York, NY",104000,139000
"Ideal Innovations, Inc.",3.9,Data Analyst (Radar Systems) with Security Clearance,"Picatinny Arsenal, NJ",59000,99000
Avani Technology Solutions,4.5,"JPSC-7176 - Position 35, 59, 62, 100,101,102, 141,142,166 : Senior Data Analyst","Brooklyn, NY",76000,115000
"Remedy BPCI Partners, LLC.",3.3,"Senior Analyst, Claims Data Engineering","New York, NY",104000,139000
Quantum Integrators Group,3.6,Position # 18 Clinical Data Analyst,"Princeton, NJ",46000,70000
Syneos Health Commercial Solutions,3.5,Business Intelligence Analyst (Data Analyst),"Somerset, NJ",61000,84000
Cognizant Technology Solutions,3.7,Business Analyst Leader - Specialty Pharmacy Data,"East Hanover, NJ",84000,118000
Argus Information & Advisory Services,4,Business Analyst - Enterprise Data Management Team (EDM) - CR,"White Plains, NY",42000,67000
Verizon,3.6,Senior Data Analyst ETL Developer,"Bedminster, NJ",64000,97000
AC Lion (2),4.2,Data Analyst Team Lead,"New York, NY",73000,118000
"Remedy BPCI Partners, LLC.",3.3,Data Support & Solutions Analyst,"Norwalk, CT",49000,86000
Spectrum,2.9,Sr Data Analyst,"Stamford, CT",71000,103000
Agneto Corp,,Data Analyst - Data Engineer / Analyst,"Princeton Junction, Mercer, NJ",51000,72000
Newport Laboratories,2.2,Central Data Science Solutions (CDSS) Business Analyst or Principal Business Analyst,"Ridgefield, CT",52000,85000
International Flavors & Fragrances,3.7,"Lead Data Analyst, Advanced Analytics","Union Beach, NJ",72000,115000
IT America Inc,4.2,Sr Data Analyst,"Purchase, NY",60000,92000
Veterans Sourcing Group,2.8,Business Analyst - Data Governance,"Stamford, CT",51000,79000
Blue Book Network Contractors Register,2.9,Programmer Analyst/Data Strategist,"Jefferson Valley, NY",45000,62000
"ZS Associates, Inc.",3.9,Senior Business Technology Analyst / Big Data,"Princeton, NJ",91000,113000
Verisk,3.4,Business Analyst - Enterprise Data Management Team (EDM) - CR,"White Plains, NY",48000,75000
Syneos Health,3.3,Principal Programmer Analyst (Hadoop/Big Data),"Somerset, NJ",91000,152000
